file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,start/0,engine,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,stopMusic/0,player,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,NiceCar/1[com.kunal.interfaces.Engine],engine,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,upgradeEngine/0,engine,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,NiceCar/0,engine,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,startMusic/0,player,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\interfaces\NiceCar.java,com.kunal.interfaces.NiceCar,stop/0,engine,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\WrapperExample.java,com.kunal.introduction.A,A/1[java.lang.String],name,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\properties\inheritance\BoxPrice.java,com.kunal.properties.inheritance.BoxPrice,"BoxPrice/5[double,double,double,double,double]",cost,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\properties\inheritance\BoxPrice.java,com.kunal.properties.inheritance.BoxPrice,BoxPrice/1[com.kunal.properties.inheritance.BoxPrice],cost,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\properties\inheritance\BoxPrice.java,com.kunal.properties.inheritance.BoxPrice,BoxPrice/0,cost,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\properties\inheritance\BoxPrice.java,com.kunal.properties.inheritance.BoxPrice,"BoxPrice/3[double,double,double]",cost,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,"insertRec/3[int,int,com.kunal.LL.Node]",size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,"insertRec/2[int,int]",head,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,reverse/0,head,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,reverse/0,size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,insertFirst/1[int],head,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,insertFirst/1[int],size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,insertFirst/1[int],tail,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,deleteFirst/0,head,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,deleteFirst/0,size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,deleteFirst/0,tail,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,get/1[int],head,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,delete/1[int],size,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,"bubbleSort/2[int,int]",head,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,"bubbleSort/2[int,int]",tail,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,duplicates/0,head,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,duplicates/0,size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,duplicates/0,tail,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,find/1[int],head,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,LL/0,size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,deleteLast/0,size,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,deleteLast/0,tail,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,display/0,head,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,"insert/2[int,int]",head,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,"insert/2[int,int]",size,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,reverse/1[com.kunal.LL.Node],head,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,reverse/1[com.kunal.LL.Node],tail,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,insertLast/1[int],size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,insertLast/1[int],tail,2
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\18-linkedlist\code\src\com\kunal\LL.java,com.kunal.LL,bubbleSort/0,size,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\Main.java,com.kunal.introduction.Student,greeting/0,name,1
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\Main.java,com.kunal.introduction.Student,"Student/3[int,java.lang.String,float]",rno,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\Main.java,com.kunal.introduction.Student,"Student/3[int,java.lang.String,float]",name,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\Main.java,com.kunal.introduction.Student,"Student/3[int,java.lang.String,float]",marks,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\Main.java,com.kunal.introduction.Student,changeName/1[java.lang.String],name,3
C:\Users\PROFESSOR\Downloads\projects\DSA-Bootcamp-Java-main\lectures\17-oop\code\src\com\kunal\introduction\Main.java,com.kunal.introduction.Student,Student/1[com.kunal.introduction.Student],rno,1
