file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",recordConsumer,8
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeList/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",recordConsumer,8
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,init/1[com.alibaba.datax.plugin.writer.osswriter.parquet.Configuration],schema,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeFields/2[java.util.List<com.alibaba.datax.plugin.writer.osswriter.parquet.Type>,com.alibaba.datax.plugin.writer.osswriter.parquet.JSONObject]",binaryForNull,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeFields/2[java.util.List<com.alibaba.datax.plugin.writer.osswriter.parquet.Type>,com.alibaba.datax.plugin.writer.osswriter.parquet.JSONObject]",recordConsumer,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeFields/2[java.util.List<com.alibaba.datax.plugin.writer.osswriter.parquet.Type>,com.alibaba.datax.plugin.writer.osswriter.parquet.JSONObject]",printStackTrace,2
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeFields/2[java.util.List<com.alibaba.datax.plugin.writer.osswriter.parquet.Type>,com.alibaba.datax.plugin.writer.osswriter.parquet.JSONObject]",LOGGER,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,prepareForWrite/1[com.alibaba.datax.plugin.writer.osswriter.parquet.RecordConsumer],recordConsumer,3
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,write/1[com.alibaba.datax.plugin.writer.osswriter.parquet.Record],schema,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,write/1[com.alibaba.datax.plugin.writer.osswriter.parquet.Record],recordConsumer,2
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,write/1[com.alibaba.datax.plugin.writer.osswriter.parquet.Record],LOGGER,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writePrimitiveType/3[com.alibaba.datax.plugin.writer.osswriter.parquet.Type,com.alibaba.datax.plugin.writer.osswriter.parquet.Column,int]",recordConsumer,9
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writePrimitiveType/3[com.alibaba.datax.plugin.writer.osswriter.parquet.Type,com.alibaba.datax.plugin.writer.osswriter.parquet.Column,int]",dateParse,2
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeStruct/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",recordConsumer,4
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writePrimitiveType/3[com.alibaba.datax.plugin.writer.osswriter.parquet.Type,java.lang.Object,int]",recordConsumer,16
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"ParquetFileSupport/3[com.alibaba.datax.plugin.writer.osswriter.parquet.MessageType,com.alibaba.datax.common.util.Configuration,com.alibaba.datax.plugin.writer.osswriter.parquet.TaskPluginCollector]",schema,3
