file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\DataX-master\otsstreamreader\src\main\java\com\alibaba\datax\plugin\reader\otsstreamreader\internal\core\IStreamRecordSender.java,com.alibaba.datax.plugin.reader.otsstreamreader.internal.core.IStreamRecordSender,sendToDatax/1[com.alibaba.datax.plugin.reader.otsstreamreader.internal.core.StreamRecord],streamRecord,0
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",groupType,3
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",keyValueFields,2
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",valueType,3
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",index,2
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",json,4
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",keyType,1
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",value,2
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeMap/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",key,3
C:\Users\PROFESSOR\Downloads\projects\DataX-master\osswriter\src\main\java\com\alibaba\datax\plugin\writer\osswriter\parquet\ParquetFileSupport.java,com.alibaba.datax.plugin.writer.osswriter.parquet.ParquetFileSupport,"writeList/3[com.alibaba.datax.plugin.writer.osswriter.parquet.GroupType,com.alibaba.datax.plugin.writer.osswriter.parquet.JSON,int]",groupType,3
