file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,"onLeave/4[int,int,float,boolean]",mChangePercent,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,getChangePercent/0,mChangePercent,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,"onEnter/4[int,int,float,boolean]",mChangePercent,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\ext\titles\ColorFlipPagerTitleView.java,net.lucode.hackware.magicindicatordemo.ext.titles.ColorFlipPagerTitleView,setChangePercent/1[float],mChangePercent,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\example\ScrollableTabExampleActivity.java,net.lucode.hackware.magicindicatordemo.example.ScrollableTabExampleActivity,onCreate/1[net.lucode.hackware.magicindicatordemo.example.Bundle],mViewPager,2
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\example\ScrollableTabExampleActivity.java,net.lucode.hackware.magicindicatordemo.example.ScrollableTabExampleActivity,onCreate/1[net.lucode.hackware.magicindicatordemo.example.Bundle],mExamplePagerAdapter,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\example\ScrollableTabExampleActivity.java,net.lucode.hackware.magicindicatordemo.example.ScrollableTabExampleActivity,initMagicIndicator5/0,mViewPager,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\example\ScrollableTabExampleActivity.java,net.lucode.hackware.magicindicatordemo.example.ScrollableTabExampleActivity,initMagicIndicator9/0,mViewPager,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\example\ScrollableTabExampleActivity.java,net.lucode.hackware.magicindicatordemo.example.ScrollableTabExampleActivity,initMagicIndicator2/0,mViewPager,1
C:\Users\PROFESSOR\Downloads\projects\MagicIndicator-main\app\src\main\java\net\lucode\hackware\magicindicatordemo\example\ScrollableTabExampleActivity.java,net.lucode.hackware.magicindicatordemo.example.ScrollableTabExampleActivity,initMagicIndicator7/0,mViewPager,1
