file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"ModDiscoverer/1[java.util.Map<java.lang.String,?>]",dependencyLocatorList,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"ModDiscoverer/1[java.util.Map<java.lang.String,?>]",modLocators,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"ModDiscoverer/1[java.util.Map<java.lang.String,?>]",modLocatorList,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"ModDiscoverer/1[java.util.Map<java.lang.String,?>]",dependencyLocators,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"ModDiscoverer/1[java.util.Map<java.lang.String,?>]",LOGGER,6
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,discoverMods/0,dependencyLocatorList,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,discoverMods/0,modLocatorList,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,discoverMods/0,LOGGER,15
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\fmlloader\src\main\java\net\minecraftforge\fml\loading\moddiscovery\ModDiscoverer.java,net.minecraftforge.fml.loading.moddiscovery.ModDiscoverer,"handleLocatedFiles/2[java.util.List<net.minecraftforge.fml.loading.moddiscovery.ModFile>,java.util.List<net.minecraftforge.fml.loading.moddiscovery.IModFile>]",LOGGER,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\event\level\BlockEvent.java,net.minecraftforge.event.level.BlockEvent$CropGrowEvent$Post,"Post/4[net.minecraftforge.event.level.Level,net.minecraftforge.event.level.BlockPos,net.minecraftforge.event.level.BlockState,net.minecraftforge.event.level.BlockState]",originalState,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\event\level\BlockEvent.java,net.minecraftforge.event.level.BlockEvent$CropGrowEvent$Post,getOriginalState/0,originalState,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"dispatch/3[net.minecraftforge.network.NetworkDirection,net.minecraftforge.network.ICustomPacket<?>,net.minecraftforge.network.Connection]",networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,dispatchLoginPacket/1[net.minecraftforge.network.NetworkEvent.LoginPayloadEvent],networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,isRemotePresent/1[net.minecraftforge.network.Connection],channelName,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,unregisterObject/1[java.lang.Object],networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,tryServerVersionOnClient/1[java.lang.String],clientAcceptedVersions,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,getChannelName/0,channelName,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,addGatherListener/1[java.util.function.Consumer<net.minecraftforge.network.NetworkEvent.GatherLoginPayloadsEvent>],networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,tryClientVersionOnServer/1[java.lang.String],serverAcceptedVersions,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"dispatchGatherLogin/2[java.util.List<net.minecraftforge.network.NetworkRegistry.LoginPayload>,boolean]",networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,dispatchEvent/1[net.minecraftforge.network.NetworkEvent],networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,addListener/1[java.util.function.Consumer<T>],networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,getNetworkProtocolVersion/0,networkProtocolVersion,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"NetworkInstance/4[net.minecraftforge.network.ResourceLocation,java.util.function.Supplier<java.lang.String>,java.util.function.Predicate<java.lang.String>,java.util.function.Predicate<java.lang.String>]",networkProtocolVersion,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"NetworkInstance/4[net.minecraftforge.network.ResourceLocation,java.util.function.Supplier<java.lang.String>,java.util.function.Predicate<java.lang.String>,java.util.function.Predicate<java.lang.String>]",networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"NetworkInstance/4[net.minecraftforge.network.ResourceLocation,java.util.function.Supplier<java.lang.String>,java.util.function.Predicate<java.lang.String>,java.util.function.Predicate<java.lang.String>]",channelName,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"NetworkInstance/4[net.minecraftforge.network.ResourceLocation,java.util.function.Supplier<java.lang.String>,java.util.function.Predicate<java.lang.String>,java.util.function.Predicate<java.lang.String>]",clientAcceptedVersions,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,"NetworkInstance/4[net.minecraftforge.network.ResourceLocation,java.util.function.Supplier<java.lang.String>,java.util.function.Predicate<java.lang.String>,java.util.function.Predicate<java.lang.String>]",serverAcceptedVersions,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\network\NetworkInstance.java,net.minecraftforge.network.NetworkInstance,registerObject/1[java.lang.Object],networkEventBus,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\common\util\Lazy.java,net.minecraftforge.common.util.Lazy$Concurrent,Concurrent/1[java.util.function.Supplier<T>],supplier,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\common\util\Lazy.java,net.minecraftforge.common.util.Lazy$Concurrent,get/0,instance,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\common\util\Lazy.java,net.minecraftforge.common.util.Lazy$Concurrent,get/0,supplier,4
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\common\util\Lazy.java,net.minecraftforge.common.util.Lazy$Concurrent,get/0,lock,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\event\PlayLevelSoundEvent.java,net.minecraftforge.event.PlayLevelSoundEvent$AtPosition,"AtPosition/6[net.minecraftforge.event.Level,net.minecraftforge.event.Vec3,net.minecraftforge.event.Holder<net.minecraftforge.event.SoundEvent>,net.minecraftforge.event.SoundSource,float,float]",position,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\event\PlayLevelSoundEvent.java,net.minecraftforge.event.PlayLevelSoundEvent$AtPosition,getPosition/0,position,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\item\ItemAttributeModifierTest.java,net.minecraftforge.debug.item.ItemAttributeModifierTest,onItemAttribute/1[net.minecraftforge.debug.item.ItemAttributeModifierEvent],MODIFIER,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\item\ItemAttributeModifierTest.java,net.minecraftforge.debug.item.ItemAttributeModifierTest,onItemAttribute/1[net.minecraftforge.debug.item.ItemAttributeModifierEvent],ENABLED,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\data\loading\DatagenModLoader.java,net.minecraftforge.data.loading.DatagenModLoader,"begin/13[java.util.Set<java.lang.String>,java.nio.file.Path,java.util.Collection<java.nio.file.Path>,java.util.Collection<java.nio.file.Path>,java.util.Set<java.lang.String>,boolean,boolean,boolean,boolean,boolean,boolean,java.lang.String,java.io.File]",dataGeneratorConfig,6
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\data\loading\DatagenModLoader.java,net.minecraftforge.data.loading.DatagenModLoader,"begin/13[java.util.Set<java.lang.String>,java.nio.file.Path,java.util.Collection<java.nio.file.Path>,java.util.Collection<java.nio.file.Path>,java.util.Set<java.lang.String>,boolean,boolean,boolean,boolean,boolean,boolean,java.lang.String,java.io.File]",existingFileHelper,2
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\data\loading\DatagenModLoader.java,net.minecraftforge.data.loading.DatagenModLoader,"begin/13[java.util.Set<java.lang.String>,java.nio.file.Path,java.util.Collection<java.nio.file.Path>,java.util.Collection<java.nio.file.Path>,java.util.Set<java.lang.String>,boolean,boolean,boolean,boolean,boolean,boolean,java.lang.String,java.io.File]",LOGGER,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\data\loading\DatagenModLoader.java,net.minecraftforge.data.loading.DatagenModLoader,"begin/13[java.util.Set<java.lang.String>,java.nio.file.Path,java.util.Collection<java.nio.file.Path>,java.util.Collection<java.nio.file.Path>,java.util.Set<java.lang.String>,boolean,boolean,boolean,boolean,boolean,boolean,java.lang.String,java.io.File]",runningDataGen,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\data\loading\DatagenModLoader.java,net.minecraftforge.data.loading.DatagenModLoader,isRunningDataGen/0,runningDataGen,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\DataGeneratorTest.java,net.minecraftforge.debug.DataGeneratorTest,levelStem/1[net.minecraftforge.debug.BootstapContext<net.minecraftforge.debug.LevelStem>],TEST_LEVEL_STEM,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\DataGeneratorTest.java,net.minecraftforge.debug.DataGeneratorTest,"testModelResults/3[java.util.Map<net.minecraftforge.debug.ResourceLocation,T>,net.minecraftforge.debug.ExistingFileHelper,java.util.Set<net.minecraftforge.debug.ResourceLocation>]",GSON,3
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\DataGeneratorTest.java,net.minecraftforge.debug.DataGeneratorTest,gatherData/1[net.minecraftforge.debug.GatherDataEvent],BUILDER,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\DataGeneratorTest.java,net.minecraftforge.debug.DataGeneratorTest,gatherData/1[net.minecraftforge.debug.GatherDataEvent],GSON,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\DataGeneratorTest.java,net.minecraftforge.debug.DataGeneratorTest,gatherData/1[net.minecraftforge.debug.GatherDataEvent],MODID,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\client\model\data\ModelData.java,net.minecraftforge.client.model.data.ModelData$Builder,"with/2[net.minecraftforge.client.model.data.ModelProperty<T>,T]",properties,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\client\model\data\ModelData.java,net.minecraftforge.client.model.data.ModelData$Builder,build/0,properties,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\client\model\data\ModelData.java,net.minecraftforge.client.model.data.ModelData$Builder,Builder/1[net.minecraftforge.client.model.data.ModelData],properties,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\block\ValidRailShapeTest.java,net.minecraftforge.debug.block.ValidRailShapeTest$RailSlopeBlock,getShapeProperty/0,ASCENDING_RAIL_SHAPE,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\block\ValidRailShapeTest.java,net.minecraftforge.debug.block.ValidRailShapeTest$RailSlopeBlock,getStateForPlacement/1[net.minecraftforge.debug.block.BlockPlaceContext],ASCENDING_RAIL_SHAPE,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\block\ValidRailShapeTest.java,net.minecraftforge.debug.block.ValidRailShapeTest$RailSlopeBlock,"canSurvive/3[net.minecraftforge.debug.block.BlockState,net.minecraftforge.debug.block.LevelReader,net.minecraftforge.debug.block.BlockPos]",ASCENDING_RAIL_SHAPE,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\main\java\net\minecraftforge\client\model\renderable\CompositeRenderable.java,net.minecraftforge.client.model.renderable.CompositeRenderable,"render/7[net.minecraftforge.client.model.renderable.PoseStack,net.minecraftforge.client.model.renderable.MultiBufferSource,net.minecraftforge.client.model.renderable.ITextureRenderTypeLookup,int,int,float,net.minecraftforge.client.model.renderable.CompositeRenderable.Transforms]",components,1
C:\Users\PROFESSOR\Downloads\projects\MinecraftForge-1.19.x\src\test\java\net\minecraftforge\debug\recipe\recipebook\RecipeBookExtensionTest.java,net.minecraftforge.debug.recipe.recipebook.RecipeBookExtensionTest,getId/1[java.lang.String],MOD_ID,1
