file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,"createHistoryEntry/2[org.openrefine.wikibase.operations.Project,long]",change,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,"createHistoryEntry/2[org.openrefine.wikibase.operations.Project,long]",project,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,"createHistoryEntry/2[org.openrefine.wikibase.operations.Project,long]",historyEntryID,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,"createHistoryEntry/2[org.openrefine.wikibase.operations.Project,long]",description,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,getBriefDescription/1[org.openrefine.wikibase.operations.Project],project,0
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\operations\SaveWikibaseSchemaOperation.java,org.openrefine.wikibase.operations.SaveWikibaseSchemaOperation,SaveWikibaseSchemaOperation/1[org.openrefine.wikibase.schema.WikibaseSchema],schema,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"saveToFile/2[com.google.refine.model.Project,java.io.File]",file,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"saveToFile/2[com.google.refine.model.Project,java.io.File]",pool,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"saveToFile/2[com.google.refine.model.Project,java.io.File]",project,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"saveToFile/2[com.google.refine.model.Project,java.io.File]",out,7
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",file,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",poolEntry,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",pool,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",id,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"loadFromFile/2[java.io.File,long]",zipFile,5
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],oldFile,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],file,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],e,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],project,4
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],tempFile,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],id,4
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],dir,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,save/1[com.google.refine.model.Project],e2,0
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"load/2[java.io.File,long]",file,8
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"load/2[java.io.File,long]",e,5
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"load/2[java.io.File,long]",id,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\main\src\com\google\refine\io\ProjectUtilities.java,com.google.refine.io.ProjectUtilities,"load/2[java.io.File,long]",dir,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,addWarning/1[org.openrefine.wikibase.qa.QAWarning],severity,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,addWarning/1[org.openrefine.wikibase.qa.QAWarning],existing,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,addWarning/1[org.openrefine.wikibase.qa.QAWarning],aggregationKey,4
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,addWarning/1[org.openrefine.wikibase.qa.QAWarning],warning,5
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\wikibase\src\org\openrefine\wikibase\qa\QAWarningStore.java,org.openrefine.wikibase.qa.QAWarningStore,getWarnings/0,result,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doGet/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",request,0
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doGet/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",response,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",request,5
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",e,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",response,6
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",parameters,4
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doPost/2[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse]",subCommand,4
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",request,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",jobID,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",e,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",response,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",databaseQueryInfo,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",w,3
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",writer,7
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",job,9
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",optionObj,1
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",parameters,2
C:\Users\PROFESSOR\Downloads\projects\OpenRefine-master\extensions\database\src\com\google\refine\extension\database\DatabaseImportController.java,com.google.refine.extension.database.DatabaseImportController,"doParsePreview/3[com.google.refine.extension.database.HttpServletRequest,com.google.refine.extension.database.HttpServletResponse,java.util.Properties]",exceptions,3
