file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,class,21,30,9,21,45,1,0,81,34,0.79638,0.1904762,0.2857143,17,0,6,10,0,1,7,0,0,0,13,3,1,12,0,0,9,0,5,224,23,2,6,2,0,15,2,39,6,40,3,3,0,5,163,1,10
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\notification\UploadStatus.java,com.netflix.priam.notification.UploadStatus,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\test\java\com\netflix\priam\backup\identity\InstanceIdentityTest.java,com.netflix.priam.backup.identity.InstanceIdentityTest,class,11,12,1,11,7,2,0,20,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,1,0,1,24,14,16,14,5,2,0,0,0,25,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\test\java\com\netflix\priam\backup\identity\InstanceTestUtils.java,com.netflix.priam.backup.identity.InstanceTestUtils,class,17,20,3,17,3,1,2,4,1,0.44444442,0.33333334,0.33333334,3,0,1,0,0,2,3,0,0,0,9,0,0,4,0,5,2,0,0,45,1,0,0,0,0,31,0,11,0,11,0,0,0,0,31,1024,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\backup\DirectorySize.java,com.netflix.priam.backup.DirectorySize,interface,2,6,4,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\backup\Status.java,com.netflix.priam.backup.Status,enum,0,5,5,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\tuner\CassandraTunerService.java,com.netflix.priam.tuner.CassandraTunerService,class,7,12,5,7,4,1,0,2,4,0.6666667,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,26,0,0,0,0,0,0,2,3,0,3,0,1,0,0,19,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\backup\AbstractBackupPath.java,com.netflix.priam.backup.AbstractBackupPath$BackupFileType,enum,3,3,0,3,4,1,0,4,3,0.6666667,0.0,0.0,3,3,3,0,0,0,3,0,0,0,2,2,0,2,0,0,2,0,2,17,3,0,0,1,0,1,0,2,0,2,1,0,0,0,27,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\backupv2\MetaFileWriterBuilder.java,com.netflix.priam.backupv2.MetaFileWriterBuilder,class,7,10,3,7,2,1,0,1,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,105,1,0,0,0,0,0,0,2,0,2,0,0,4,0,69,1,0
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\test\java\com\netflix\priam\identity\config\TestAWSInstanceInfo.java,com.netflix.priam.identity.config.TestAWSInstanceInfo,class,4,4,0,4,5,1,0,4,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,53,0,0,0,0,0,5,0,1,0,1,1,4,0,1,21,1,0
