file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,grabExistingToken/0,false,125,3,10,8,2,1,1,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"createToken/2[int,java.lang.String]",false,319,5,10,1,9,3,11,12,1,2,2,11,0,0,0,0,1,0,1,0,2,0,1,0,0,0,25,2,1,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,getRingPosition/0,false,89,7,8,4,4,2,12,7,1,4,0,12,1,2,0,0,0,0,0,1,3,0,0,0,0,1,11,1,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,getRacInstanceIds/0,false,349,3,4,1,3,2,4,4,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,isTokenPregenerated/0,false,84,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,grabNewToken/0,false,150,3,4,1,3,1,3,12,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,isNew/1[com.netflix.priam.identity.PriamInstance],false,356,1,2,1,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"TokenRetriever/6[com.netflix.priam.identity.IPriamInstanceFactory,com.netflix.priam.identity.IMembership,com.netflix.priam.config.IConfiguration,com.netflix.priam.identity.config.InstanceInfo,com.netflix.priam.utils.Sleeper,com.netflix.priam.utils.ITokenManager]",true,53,7,7,7,0,1,0,9,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,1,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,get/0,false,64,2,14,11,3,4,4,13,1,0,0,4,3,1,0,3,0,0,1,0,3,0,1,0,0,0,12,1,1,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"newTokenIsADuplicate/2[java.lang.String,com.netflix.priam.identity.token.ImmutableSet<com.netflix.priam.identity.PriamInstance>]",false,190,3,4,1,3,4,5,11,2,0,2,5,0,0,1,0,0,0,1,0,0,0,3,0,0,0,22,2,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,getReplacedIp/0,false,79,0,9,9,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,grabPreAssignedToken/0,false,100,2,3,1,2,1,1,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,2,0,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"getReplacedIpForExistingToken/2[com.netflix.priam.identity.token.ImmutableSet<com.netflix.priam.identity.PriamInstance>,com.netflix.priam.identity.PriamInstance]",false,241,5,9,1,8,6,11,28,5,2,2,11,0,0,0,1,0,0,7,0,2,1,2,0,0,0,60,2,6,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,"getReplacedIpForAssignedToken/2[com.netflix.priam.identity.token.ImmutableSet<com.netflix.priam.identity.PriamInstance>,com.netflix.priam.identity.PriamInstance]",false,207,8,12,1,11,7,13,19,1,3,2,13,0,0,0,2,0,0,3,0,4,1,3,0,0,0,49,2,1,false
C:\Users\PROFESSOR\Downloads\projects\Priam-3.x\priam\src\main\java\com\netflix\priam\identity\token\TokenRetriever.java,com.netflix.priam.identity.token.TokenRetriever,generateNewToken/0,false,164,9,13,2,11,2,24,18,2,10,0,24,2,1,1,0,0,0,0,0,9,4,1,0,0,3,25,0,0,false
