file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,getGhostHeight/0,m_draggingGhost,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,paintComponent/1[java.awt.Graphics],m_composite,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,paintComponent/1[java.awt.Graphics],m_draggingGhost,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,paintComponent/1[java.awt.Graphics],m_location,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,GhostGlassPane/0,m_composite,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,setImage/1[java.awt.image.BufferedImage],m_draggingGhost,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,getGhostWidth/0,m_draggingGhost,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,fuckery/1[java.lang.String],r,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,"FieldMappingData/3[java.lang.String,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData,java.lang.String]",fieldOwner,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,"FieldMappingData/3[java.lang.String,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData,java.lang.String]",name,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,"FieldMappingData/3[java.lang.String,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData,java.lang.String]",desc,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,getName/0,name,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,getFieldOwner/0,fieldOwner,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,getDesc/0,desc,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,equals/1[java.lang.Object],fieldOwner,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,equals/1[java.lang.Object],name,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,equals/1[java.lang.Object],desc,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,hashCode/0,fieldOwner,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,hashCode/0,name,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,hashCode/0,desc,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,"FieldMappingData/2[the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData,java.lang.String]",name,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,"FieldMappingData/2[the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData,java.lang.String]",desc,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,setDesc/1[java.lang.String],desc,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,setName/1[the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.MappingData],name,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\obfuscators\mapping\data\FieldMappingData.java,the.bytecode.club.bytecodeviewer.obfuscators.mapping.data.FieldMappingData,setFieldOwner/1[java.lang.String],fieldOwner,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,getSearchPanel/0,searchPanel,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,"highlight/2[java.lang.String,boolean]",caseSensitiveSearch,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,getCaseSensitiveSearch/0,caseSensitiveSearch,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,searchInput,6
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,blackScrollForeground,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,searchPanel,4
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,scrollPane,9
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,onCtrlS,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,blackScrollBackground,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,caseSensitiveSearch,4
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,darkScrollForeground,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,SearchableRSyntaxTextArea/0,darkScrollBackground,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\components\SearchableRSyntaxTextArea.java,the.bytecode.club.bytecodeviewer.gui.components.SearchableRSyntaxTextArea,setOnCtrlS/1[java.lang.Runnable],onCtrlS,3
