file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,paintComponent/1[java.awt.Graphics],g,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,paintComponent/1[java.awt.Graphics],g2,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,setImage/1[java.awt.image.BufferedImage],draggingGhost,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\gui\resourceviewer\DraggableTabbedPane.java,the.bytecode.club.bytecodeviewer.gui.resourceviewer.GhostGlassPane,setPoint/1[java.awt.Point],a_location,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",exception,4
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",args,5
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",b,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",fuckery,7
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",tempClass,3
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",e,4
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",fileStart,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",jadx,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",cn,0
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",fos,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,"decompileClassNode/2[the.bytecode.club.bytecodeviewer.decompilers.impl.ClassNode,byte[]]",exceptionWriter,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,fuckery/1[java.lang.String],failSafe,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,fuckery/1[java.lang.String],f,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,fuckery/1[java.lang.String],start,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,findFile/1[java.io.File[]],exception,1
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,findFile/1[java.io.File[]],s,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,findFile/1[java.io.File[]],sw,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,findFile/1[java.io.File[]],e,2
C:\Users\PROFESSOR\Downloads\projects\bytecode-viewer-master\src\main\java\the\bytecode\club\bytecodeviewer\decompilers\impl\JADXDecompiler.java,the.bytecode.club.bytecodeviewer.decompilers.impl.JADXDecompiler,findFile/1[java.io.File[]],f,3
