file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,ShibbolethCompatiblePersistentIdGenerator/1[java.lang.String],salt,3
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,"determinePrincipalIdFromAttributes/2[java.lang.String,java.util.Map<java.lang.String,java.util.List<java.lang.Object>>]",attribute,4
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,digestAndEncodeWithSalt/1[java.security.MessageDigest],salt,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,"prepareMessageDigest/2[java.lang.String,java.lang.String]",CONST_SEPARATOR,2
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,toString/0,salt,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,toString/0,CONST_SALT_ABBREV_LENGTH,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,toString/0,attribute,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,"generate/2[java.lang.String,java.lang.String]",salt,2
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-services-api\src\main\java\org\apereo\cas\authentication\principal\ShibbolethCompatiblePersistentIdGenerator.java,org.apereo.cas.authentication.principal.ShibbolethCompatiblePersistentIdGenerator,"generate/2[java.lang.String,java.lang.String]",CONST_DEFAULT_SALT_COUNT,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,getAttributeRepository/0,chain,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,supports/1[org.apereo.cas.authentication.principal.resolvers.Credential],chain,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,"resolve/4[org.apereo.cas.authentication.principal.resolvers.Credential,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.Principal>,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.AuthenticationHandler>,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.Service>]",chain,2
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,"resolve/4[org.apereo.cas.authentication.principal.resolvers.Credential,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.Principal>,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.AuthenticationHandler>,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.Service>]",principalElectionStrategy,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\core\cas-server-core-authentication-api\src\main\java\org\apereo\cas\authentication\principal\resolvers\ChainingPrincipalResolver.java,org.apereo.cas.authentication.principal.resolvers.ChainingPrincipalResolver,"resolve/4[org.apereo.cas.authentication.principal.resolvers.Credential,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.Principal>,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.AuthenticationHandler>,java.util.Optional<org.apereo.cas.authentication.principal.resolvers.Service>]",casProperties,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\support\cas-server-support-oidc-core-api\src\main\java\org\apereo\cas\oidc\jwks\rotation\OidcJsonWebKeystoreRotationService.java,org.apereo.cas.oidc.jwks.rotation.OidcJsonWebKeystoreRotationService$JsonWebKeyLifecycleStates,isFuture/0,FUTURE,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\support\cas-server-support-oidc-core-api\src\main\java\org\apereo\cas\oidc\jwks\rotation\OidcJsonWebKeystoreRotationService.java,org.apereo.cas.oidc.jwks.rotation.OidcJsonWebKeystoreRotationService$JsonWebKeyLifecycleStates,getJsonWebKeyState/1[org.apereo.cas.oidc.jwks.rotation.JsonWebKey],CURRENT,1
C:\Users\PROFESSOR\Downloads\projects\cas-master\support\cas-server-support-oidc-core-api\src\main\java\org\apereo\cas\oidc\jwks\rotation\OidcJsonWebKeystoreRotationService.java,org.apereo.cas.oidc.jwks.rotation.OidcJsonWebKeystoreRotationService$JsonWebKeyLifecycleStates,"setJsonWebKeyState/2[org.apereo.cas.oidc.jwks.rotation.JsonWebKey,org.apereo.cas.oidc.jwks.rotation.OidcJsonWebKeystoreRotationService.JsonWebKeyLifecycleStates]",state,3
