file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,initialize/0,settings,2
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,setLogLevels/1[boolean],LOG,2
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,DebugMode/1[org.cryptomator.common.settings.Settings],settings,3
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,beforeStart/1[java.lang.Runnable],beforeStart,4
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,afterStop/1[java.lang.Runnable],afterStop,4
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,build/0,condition,1
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,build/0,beforeStart,1
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,build/0,afterStop,1
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,build/0,animation,1
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,Builder/1[org.cryptomator.ui.common.Animation],animation,3
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,onCondition/1[org.cryptomator.ui.common.ObservableValue<java.lang.Boolean>],condition,3
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\recoverykey\RecoveryKeySuccessController.java,org.cryptomator.ui.recoverykey.RecoveryKeySuccessController,close/0,window,1
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\ui\recoverykey\RecoveryKeySuccessController.java,org.cryptomator.ui.recoverykey.RecoveryKeySuccessController,RecoveryKeySuccessController/1[org.cryptomator.ui.recoverykey.Stage],window,3
C:\Users\PROFESSOR\Downloads\projects\cryptomator-develop\src\main\java\org\cryptomator\common\settings\VaultSettingsJsonAdapter.java,org.cryptomator.common.settings.VaultSettingsJsonAdapter,read/1[org.cryptomator.common.settings.JsonReader],LOG,1
