file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\DynmapCore\src\main\java\org\dynmap\debug\Debug.java,org.dynmap.debug.Debug,clearDebuggers/0,debuggers,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\DynmapCore\src\main\java\org\dynmap\debug\Debug.java,org.dynmap.debug.Debug,addDebugger/1[org.dynmap.debug.Debugger],debuggers,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\DynmapCore\src\main\java\org\dynmap\debug\Debug.java,org.dynmap.debug.Debug,error/1[java.lang.String],debuggers,2
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\DynmapCore\src\main\java\org\dynmap\debug\Debug.java,org.dynmap.debug.Debug,removeDebugger/1[org.dynmap.debug.Debugger],debuggers,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\DynmapCore\src\main\java\org\dynmap\debug\Debug.java,org.dynmap.debug.Debug,debug/1[java.lang.String],debuggers,2
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\DynmapCore\src\main\java\org\dynmap\debug\Debug.java,org.dynmap.debug.Debug,"error/2[java.lang.String,java.lang.Throwable]",debuggers,2
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,info/1[java.lang.String],log,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,info/1[java.lang.String],DM,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,"severe/2[java.lang.String,java.lang.Throwable]",log,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,"severe/2[java.lang.String,java.lang.Throwable]",DM,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,severe/1[java.lang.String],log,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,severe/1[java.lang.String],DM,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,FabricLogger/0,log,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,verboseinfo/1[java.lang.String],log,1
C:\Users\PROFESSOR\Downloads\projects\dynmap-3.0\fabric-1.19\src\main\java\org\dynmap\fabric_1_19\FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,verboseinfo/1[java.lang.String],DM,1
