file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\tar\TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,testExtract/0,temporaryFolder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\tar\TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,testExtract_reproducibleTimestampsEnabled/0,temporaryFolder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\tar\TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,testExtract_modificationTimePreserved/0,temporaryFolder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\tar\TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,testExtract_missingDirectoryEntries/0,temporaryFolder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\tar\TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,testExtract_reproducibleTimestampsEnabled_destinationNotEmpty/0,temporaryFolder,2
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\tar\TarExtractorTest.java,com.google.cloud.tools.jib.tar.TarExtractorTest,testExtract_symlinks/0,temporaryFolder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_exeSuffixAlreadyGivenOnWindows/0,systemProperties,2
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_exeSuffixAlreadyGivenOnWindows/0,processBuilder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_exeSuffixAlreadyGivenOnWindows/0,processBuilderFactory,3
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_cmdSuffixAddedOnWindows/0,systemProperties,2
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_cmdSuffixAddedOnWindows/0,processBuilder,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_cmdSuffixAddedOnWindows/0,processBuilderFactory,3
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_cmdSuffixAlreadyGivenOnWindows/0,systemProperties,2
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\test\java\com\google\cloud\tools\jib\registry\credentials\DockerCredentialHelperTest.java,com.google.cloud.tools.jib.registry.credentials.DockerCredentialHelperTest,testRetrieve_cmdSuffixAlreadyGivenOnWindows/0,processBuilder,1
