file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",path,3
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",parent,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",sourceFiles,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",copyPathConsumer,2
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",destPath,2
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",destDir,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\filesystem\FileOperations.java,com.google.cloud.tools.jib.filesystem.FileOperations,"copy/2[com.google.cloud.tools.jib.filesystem.ImmutableList<java.nio.file.Path>,java.nio.file.Path]",sourceFile,4
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\image\json\DescriptorDigestSerializer.java,com.google.cloud.tools.jib.image.json.DescriptorDigestSerializer,"serialize/3[com.google.cloud.tools.jib.api.DescriptorDigest,com.google.cloud.tools.jib.image.json.JsonGenerator,com.google.cloud.tools.jib.image.json.SerializerProvider]",ignored,0
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\image\json\DescriptorDigestSerializer.java,com.google.cloud.tools.jib.image.json.DescriptorDigestSerializer,"serialize/3[com.google.cloud.tools.jib.api.DescriptorDigest,com.google.cloud.tools.jib.image.json.JsonGenerator,com.google.cloud.tools.jib.image.json.SerializerProvider]",jsonGenerator,1
C:\Users\PROFESSOR\Downloads\projects\jib-master\jib-core\src\main\java\com\google\cloud\tools\jib\image\json\DescriptorDigestSerializer.java,com.google.cloud.tools.jib.image.json.DescriptorDigestSerializer,"serialize/3[com.google.cloud.tools.jib.api.DescriptorDigest,com.google.cloud.tools.jib.image.json.JsonGenerator,com.google.cloud.tools.jib.image.json.SerializerProvider]",value,1
