file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\api-test\backend\src\main\java\io\metersphere\api\parse\api\postman\PostmanKeyValue.java,io.metersphere.api.parse.api.postman.PostmanKeyValue,"PostmanKeyValue/2[java.lang.String,java.lang.String]",value,3
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\api-test\backend\src\main\java\io\metersphere\api\parse\api\postman\PostmanKeyValue.java,io.metersphere.api.parse.api.postman.PostmanKeyValue,"PostmanKeyValue/2[java.lang.String,java.lang.String]",key,3
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],baseScheduleService,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],projectMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],projectService,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],environmentGroupService,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],groupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],userGroupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,deleteWorkspace/1[java.lang.String],workspaceMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,getLogDetails/1[io.metersphere.service.WorkspaceMemberDTO],groupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,getLogDetails/1[io.metersphere.service.WorkspaceMemberDTO],userGroupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,getLogDetails/1[io.metersphere.service.WorkspaceMemberDTO],workspaceMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,"checkSourceRole/3[java.lang.String,java.lang.String,java.lang.String]",baseUserGroupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,getLogDetails/1[java.lang.String],workspaceMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,updateWorkspaceMember/1[io.metersphere.service.WorkspaceMemberDTO],baseUserGroupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,updateWorkspaceMember/1[io.metersphere.service.WorkspaceMemberDTO],userGroupMapper,2
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,addWorkspaceByAdmin/1[io.metersphere.service.Workspace],userGroupMapper,1
C:\Users\PROFESSOR\Downloads\projects\metersphere-main\system-setting\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,addWorkspaceByAdmin/1[io.metersphere.service.Workspace],workspaceMapper,1
