file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-core\src\main\java\com\codahale\metrics\NoopMetricRegistry.java,com.codahale.metrics.NoopMetricRegistry$NoopHistogram,NoopHistogram/0,EMPTY_RESERVOIR,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsActiveConnections/0,registry,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsActiveConnections/0,connector,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsActiveConnections/0,client,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsConnectionTimes/0,registry,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsConnectionTimes/0,connector,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsConnectionTimes/0,client,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,setUp/0,server,3
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,setUp/0,connector,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,setUp/0,client,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,tearDown/0,server,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,tearDown/0,client,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,"serialize/3[com.codahale.metrics.Meter,com.codahale.metrics.json.JsonGenerator,com.codahale.metrics.json.SerializerProvider]",rateFactor,4
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,"serialize/3[com.codahale.metrics.Meter,com.codahale.metrics.json.JsonGenerator,com.codahale.metrics.json.SerializerProvider]",rateUnit,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,MeterSerializer/1[java.util.concurrent.TimeUnit],rateFactor,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,MeterSerializer/1[java.util.concurrent.TimeUnit],rateUnit,4
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsGauges/1[T],receiver,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsGauges/1[T],reporter,1
