file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-core\src\main\java\com\codahale\metrics\NoopMetricRegistry.java,com.codahale.metrics.NoopMetricRegistry$NoopHistogram,update/1[int],value,0
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-core\src\main\java\com\codahale\metrics\NoopMetricRegistry.java,com.codahale.metrics.NoopMetricRegistry$NoopHistogram,update/1[long],value,0
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsActiveConnections/0,response,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsActiveConnections/0,counter,3
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsConnectionTimes/0,timer,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty9\src\test\java\com\codahale\metrics\jetty9\InstrumentedConnectionFactoryTest.java,com.codahale.metrics.jetty9.InstrumentedConnectionFactoryTest,instrumentsConnectionTimes/0,response,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,"serialize/3[com.codahale.metrics.Meter,com.codahale.metrics.json.JsonGenerator,com.codahale.metrics.json.SerializerProvider]",provider,0
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,"serialize/3[com.codahale.metrics.Meter,com.codahale.metrics.json.JsonGenerator,com.codahale.metrics.json.SerializerProvider]",meter,5
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,"serialize/3[com.codahale.metrics.Meter,com.codahale.metrics.json.JsonGenerator,com.codahale.metrics.json.SerializerProvider]",json,8
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-json\src\main\java\com\codahale\metrics\json\MetricsModule.java,com.codahale.metrics.json.MetricsModule$MeterSerializer,MeterSerializer/1[java.util.concurrent.TimeUnit],rateUnit,3
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsGauges/1[T],value,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,nextValues/1[com.codahale.metrics.collectd.Receiver],receiver,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,nextValues/1[com.codahale.metrics.collectd.Receiver],valueList,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsHistograms/0,histogram,3
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsHistograms/0,i,3
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsHistograms/0,snapshot,11
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,doesNotReportDisabledMetricAttributes/0,meter,6
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,doesNotReportDisabledMetricAttributes/0,reporter,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,doesNotReportDisabledMetricAttributes/0,counter,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsTimers/0,timer,8
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsTimers/0,snapshot,12
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,sanitizesMetricNameWithCustomMaxLength/0,customReporter,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,sanitizesMetricNameWithCustomMaxLength/0,values,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,sanitizesMetricNameWithCustomMaxLength/0,counter,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsMeters/0,meter,6
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,sanitizesMetricName/0,values,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,sanitizesMetricName/0,counter,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,"map/2[java.lang.String,T]",metric,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,"map/2[java.lang.String,T]",name,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,"map/2[java.lang.String,T]",map,1
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-collectd\src\test\java\com\codahale\metrics\collectd\CollectdReporterTest.java,com.codahale.metrics.collectd.CollectdReporterTest,reportsCounters/0,counter,2
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty11\src\main\java\io\dropwizard\metrics\jetty11\InstrumentedHandler.java,io.dropwizard.metrics.jetty11.InstrumentedHandler$AsyncAttachingListener,onError/1[io.dropwizard.metrics.jetty11.AsyncEvent],event,0
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty11\src\main\java\io\dropwizard\metrics\jetty11\InstrumentedHandler.java,io.dropwizard.metrics.jetty11.InstrumentedHandler$AsyncAttachingListener,onComplete/1[io.dropwizard.metrics.jetty11.AsyncEvent],event,0
C:\Users\PROFESSOR\Downloads\projects\metrics-release-4.2.x\metrics-jetty11\src\main\java\io\dropwizard\metrics\jetty11\InstrumentedHandler.java,io.dropwizard.metrics.jetty11.InstrumentedHandler$AsyncAttachingListener,onTimeout/1[io.dropwizard.metrics.jetty11.AsyncEvent],event,0
