file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",miaoShaUserService,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",miaoshaService,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\service\impl\LoginInfoServiceImpl.java,com.geekq.miaosha.service.impl.LoginInfoServiceImpl,checkName/0,logininfoMapper,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\MessageStatus.java,com.geekq.miasha.enums.MessageStatus$messageType,messageType/1[java.lang.String],message,3
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\MessageStatus.java,com.geekq.miasha.enums.MessageStatus$messageType,getMessage/0,message,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\SystemDictionaryItem.java,com.geekq.admin.entity.SystemDictionaryItem,getJsonString/0,sequence,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\SystemDictionaryItem.java,com.geekq.admin.entity.SystemDictionaryItem,getJsonString/0,tvalue,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\SystemDictionaryItem.java,com.geekq.admin.entity.SystemDictionaryItem,getJsonString/0,intro,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\SystemDictionaryItem.java,com.geekq.admin.entity.SystemDictionaryItem,getJsonString/0,title,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\SystemDictionaryItem.java,com.geekq.admin.entity.SystemDictionaryItem,getJsonString/0,parentId,1
