file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,insert/1[com.geekq.admin.entity.IpLog],record,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,selectByPrimaryKey/1[java.lang.Long],id,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,query/1[com.geekq.admin.query.IpLogQueryObject],qo,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,queryForCount/1[com.geekq.admin.query.IpLogQueryObject],qo,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,deleteByPrimaryKey/1[java.lang.Long],id,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,updateByPrimaryKey/1[com.geekq.admin.entity.IpLog],record,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MQSender.java,MQSender,sendRegisterMessage/1[MiaoShaMessageVo],msg,2
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MQSender.java,MQSender,sendRegisterMessage/1[MiaoShaMessageVo],miaoShaMessageVo,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MQSender.java,MQSender,sendMessage/1[MiaoshaMessage],mm,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MQSender.java,MQSender,sendMiaoshaMessage/1[MiaoshaMessage],mm,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MQSender.java,MQSender,sendMiaoshaMessage/1[MiaoshaMessage],msg,2
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\GlobalParamAdvice.java,com.geekq.miaosha.interceptor.GlobalParamAdvice,initBinder/1[com.geekq.miaosha.interceptor.WebDataBinder],binder,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\GlobalParamAdvice.java,com.geekq.miaosha.interceptor.GlobalParamAdvice,addAttributes/1[com.geekq.miaosha.interceptor.Model],model,0
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",passWord,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",result,5
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",registerInfo,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",verifyCode,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",salt,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",response,1
C:\Users\PROFESSOR\Downloads\projects\miaosha-master\miaosha-v1\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse]",check,1
