file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockito\internal\configuration\MockInjectionTest.java,org.mockito.internal.configuration.MockInjectionTest$AnObjectWithConstructor,AnObjectWithConstructor/1[java.util.Set<java.lang.String>],initializedWithConstructor,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filterFirst/2[java.lang.Throwable,boolean]",GET_STACK_TRACE_ELEMENT,2
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filterFirst/2[java.lang.Throwable,boolean]",CLEANER,4
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filterFirst/2[java.lang.Throwable,boolean]",JAVA_LANG_ACCESS,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"findSourceFile/2[java.lang.StackTraceElement[],java.lang.String]",CLEANER,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filter/2[java.lang.StackTraceElement[],boolean]",CLEANER,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,third/0,mock,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,second/0,mockTwo,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,first/0,mock,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,fourth/0,mockTwo,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,shouldNotPointStackTracesToRunnersCode/0,mock,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,shouldPointToTooManyInvocationsChunkOnError/0,mock,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\runners\util\FailureDetector.java,org.mockito.internal.runners.util.FailureDetector,isSuccessful/0,failed,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\runners\util\FailureDetector.java,org.mockito.internal.runners.util.FailureDetector,testFailure/1[org.mockito.internal.runners.util.Failure],failed,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\basicapi\MocksSerializationForAnnotationTest.java,org.mockitousage.basicapi.MocksSerializationForAnnotationTest$Foo,Foo/0,bar,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\stubbing\defaultanswers\TriesToReturnSelf.java,org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf,answer/1[org.mockito.invocation.InvocationOnMock],defaultReturn,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\creation\bytebuddy\TypeCachingBytecodeGenerator.java,org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator,clearAllCaches/0,lock,3
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\creation\bytebuddy\TypeCachingBytecodeGenerator.java,org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator,clearAllCaches/0,typeCache,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\creation\bytebuddy\TypeCachingBytecodeGenerator.java,org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator,clearAllCaches/0,bytecodeGenerator,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\creation\bytebuddy\TypeCachingBytecodeGenerator.java,org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator,mockClassStatic/1[java.lang.Class<?>],bytecodeGenerator,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\creation\bytebuddy\TypeCachingBytecodeGenerator.java,org.mockito.internal.creation.bytebuddy.TypeCachingBytecodeGenerator,mockClass/1[org.mockito.internal.creation.bytebuddy.MockFeatures<T>],lock,3
