file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\spies\StubbingSpiesDoesNotYieldNPETest.java,org.mockitousage.spies.StubbingSpiesDoesNotYieldNPETest$Foo,"size/1[java.util.Map<?,?>]",map,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\spies\StubbingSpiesDoesNotYieldNPETest.java,org.mockitousage.spies.StubbingSpiesDoesNotYieldNPETest$Foo,len/1[java.lang.String],text,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockitousage\spies\StubbingSpiesDoesNotYieldNPETest.java,org.mockitousage.spies.StubbingSpiesDoesNotYieldNPETest$Foo,size/1[java.util.Collection<?>],collection,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\test\java\org\mockito\internal\configuration\MockInjectionTest.java,org.mockito.internal.configuration.MockInjectionTest$AnObjectWithConstructor,AnObjectWithConstructor/1[java.util.Set<java.lang.String>],strings,0
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\handler\MockHandlerFactory.java,org.mockito.internal.handler.MockHandlerFactory,createMockHandler/1[org.mockito.internal.handler.MockCreationSettings<T>],settings,2
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\handler\MockHandlerFactory.java,org.mockito.internal.handler.MockHandlerFactory,createMockHandler/1[org.mockito.internal.handler.MockCreationSettings<T>],handler,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\handler\MockHandlerFactory.java,org.mockito.internal.handler.MockHandlerFactory,createMockHandler/1[org.mockito.internal.handler.MockCreationSettings<T>],nullResultGuardian,1
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filterFirst/2[java.lang.Throwable,boolean]",e,0
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filterFirst/2[java.lang.Throwable,boolean]",shouldSkip,4
C:\Users\PROFESSOR\Downloads\projects\mockito-main\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,"filterFirst/2[java.lang.Throwable,boolean]",isInline,1
