file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getMetadata/0,metadata,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getIp/0,ip,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,"InstancePatchObject/3[java.lang.String,java.lang.String,int]",cluster,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,"InstancePatchObject/3[java.lang.String,java.lang.String,int]",port,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,"InstancePatchObject/3[java.lang.String,java.lang.String,int]",ip,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getEnabled/0,enabled,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,setWeight/1[java.lang.Double],weight,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getHealthy/0,healthy,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getCluster/0,cluster,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,"setMetadata/1[java.util.Map<java.lang.String,java.lang.String>]",metadata,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getWeight/0,weight,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,setHealthy/1[java.lang.Boolean],healthy,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,setEnabled/1[java.lang.Boolean],enabled,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,getPort/0,port,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,getPath/0,path,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,getCustomHeaders/0,headers,2
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,setExpectedResponseCode/1[int],expectedResponseCode,3
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,equals/1[java.lang.Object],path,1
C:\Users\PROFESSOR\Downloads\projects\nacos-develop\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,equals/1[java.lang.Object],headers,1
