file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,protocol,2
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,stdin,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,statelessRpc,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,stdout,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,workingDir,2
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,envs,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,run/0,stderr,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,statelessRpc/1[boolean],statelessRpc,4
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,"ReceivePackCommand/5[java.io.File,java.io.InputStream,java.io.OutputStream,java.io.OutputStream,java.util.Map<java.lang.String,java.lang.String>]",stdin,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,"ReceivePackCommand/5[java.io.File,java.io.InputStream,java.io.OutputStream,java.io.OutputStream,java.util.Map<java.lang.String,java.lang.String>]",stdout,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,"ReceivePackCommand/5[java.io.File,java.io.InputStream,java.io.OutputStream,java.io.OutputStream,java.util.Map<java.lang.String,java.lang.String>]",workingDir,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,"ReceivePackCommand/5[java.io.File,java.io.InputStream,java.io.OutputStream,java.io.OutputStream,java.util.Map<java.lang.String,java.lang.String>]",envs,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,"ReceivePackCommand/5[java.io.File,java.io.InputStream,java.io.OutputStream,java.io.OutputStream,java.util.Map<java.lang.String,java.lang.String>]",stderr,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\git\command\ReceivePackCommand.java,io.onedev.server.git.command.ReceivePackCommand,protocol/1[java.lang.String],protocol,4
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\model\support\issue\changedata\IssueReferencedFromCodeCommentData.java,io.onedev.server.model.support.issue.changedata.IssueReferencedFromCodeCommentData,getCommentId/0,commentId,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\model\support\issue\changedata\IssueReferencedFromCodeCommentData.java,io.onedev.server.model.support.issue.changedata.IssueReferencedFromCodeCommentData,IssueReferencedFromCodeCommentData/1[io.onedev.server.model.CodeComment],commentId,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\model\support\issue\changedata\IssueReferencedFromCodeCommentData.java,io.onedev.server.model.support.issue.changedata.IssueReferencedFromCodeCommentData,getReferencedFrom/0,commentId,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\org\apache\wicket\application\AbstractClassResolver.java,org.apache.wicket.application.AbstractClassResolver,resolveClass/1[java.lang.String],classes,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\web\editable\issue\choice\IssueChoiceEditor.java,io.onedev.server.web.editable.issue.choice.IssueChoiceEditor,convertInputToValue/0,input,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\web\editable\issue\choice\IssueChoiceEditor.java,io.onedev.server.web.editable.issue.choice.IssueChoiceEditor,onInitialize/0,input,4
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,setJobParams/1[java.util.List<io.onedev.server.buildspec.param.supply.ParamSupply>],jobParams,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,getArtifacts/0,artifacts,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,getJobParams/0,jobParams,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,setJobName/1[java.lang.String],jobName,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,setDestinationPath/1[java.lang.String],destinationPath,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,setRequireSuccessful/1[boolean],requireSuccessful,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,getJobName/0,jobName,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,isRequireSuccessful/0,requireSuccessful,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,setArtifacts/1[java.lang.String],artifacts,3
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\buildspec\job\JobDependency.java,io.onedev.server.buildspec.job.JobDependency,getDestinationPath/0,destinationPath,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\util\CryptoUtils.java,io.onedev.server.util.CryptoUtils$KeyPair,getCipherKey/0,cipherKey,1
C:\Users\PROFESSOR\Downloads\projects\onedev-main\server-core\src\main\java\io\onedev\server\util\CryptoUtils.java,io.onedev.server.util.CryptoUtils$KeyPair,getPrivateKey/0,privateKey,1
