file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,onCreate/0,mStorageRef,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,uploadFromUri/1[com.google.firebase.quickstart.firebasestorage.java.Uri],TAG,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,uploadFromUri/1[com.google.firebase.quickstart.firebasestorage.java.Uri],mStorageRef,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",EXTRA_FILE_URI,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",UPLOAD_COMPLETED,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",UPLOAD_ERROR,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",EXTRA_DOWNLOAD_URL,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",EXTRA_FILE_URI,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",EXTRA_DOWNLOAD_URL,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",EXTRA_FILE_URI,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",ACTION_UPLOAD,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",TAG,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,getIntentFilter/0,UPLOAD_COMPLETED,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,getIntentFilter/0,UPLOAD_ERROR,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setRating/1[double],rating,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setUserName/1[java.lang.String],userName,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setUserId/1[java.lang.String],userId,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,getUserName/0,userName,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setText/1[java.lang.String],text,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,getTimestamp/0,timestamp,1
