file,class,method,variable,usage
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,uploadFromUri/1[com.google.firebase.quickstart.firebasestorage.java.Uri],fileUri,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,uploadFromUri/1[com.google.firebase.quickstart.firebasestorage.java.Uri],photoRef,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",broadcast,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",success,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",downloadUrl,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",fileUri,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"broadcastUploadFinished/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",action,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",success,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",downloadUrl,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",fileUri,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",caption,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"showUploadFinishedNotification/2[com.google.firebase.quickstart.firebasestorage.java.Uri,com.google.firebase.quickstart.firebasestorage.java.Uri]",intent,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,onBind/1[com.google.firebase.quickstart.firebasestorage.java.Intent],intent,0
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",startId,1
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",flags,0
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",fileUri,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,"onStartCommand/3[com.google.firebase.quickstart.firebasestorage.java.Intent,int,int]",intent,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\storage\app\src\main\java\com\google\firebase\quickstart\firebasestorage\java\MyUploadService.java,com.google.firebase.quickstart.firebasestorage.java.MyUploadService,getIntentFilter/0,filter,3
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\adapter\RestaurantAdapter.java,com.google.firebase.example.fireeats.java.adapter.RestaurantAdapter$ViewHolder$Anonymous1,onClick/1[com.google.firebase.example.fireeats.java.adapter.View],view,0
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setRating/1[double],rating,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setUserName/1[java.lang.String],userName,2
C:\Users\PROFESSOR\Downloads\projects\quickstart-android-master\firestore\app\src\main\java\com\google\firebase\example\fireeats\java\model\Rating.java,com.google.firebase.example.fireeats.java.model.Rating,setUserId/1[java.lang.String],userId,2
